Symbol,Date,Delivery,Close,UClose1
SP2_0,19900102,199003,664.75,362.5
SP2_0,19900103,199003,663.95,361.7
SP2_0,19900104,199003,662.1,359.85
SP2_0,19900105,199003,656.85,354.6
SP2_0,19900108,199003,659.8,357.55
SP2_0,19900109,199003,654.45,352.2
SP2_0,19900110,199003,653.55,351.3
SP2_0,19900111,199003,654.1,351.85
SP2_0,19900112,199003,643.2,340.95
SP2_0,19900115,199003,641.45,339.2
SP2_0,19900116,199003,644.35,342.1
SP2_0,19900117,199003,641,338.75
SP2_0,19900118,199003,643.1,340.85
SP2_0,19900119,199003,644.45,342.2
SP2_0,19900122,199003,633.65,331.4
SP2_0,19900123,199003,632.5,330.25
SP2_0,19900124,199003,635.35,333.1
SP2_0,19900125,199003,629,326.75
SP2_0,19900126,199003,629.05,326.8
SP2_0,19900129,199003,628.95,326.7
SP2_0,19900130,199003,627.45,325.2
SP2_0,19900131,199003,632.75,330.5
SP2_0,19900201,199003,632.35,330.1
SP2_0,19900202,199003,634.75,332.5
SP2_0,19900205,199003,635.65,333.4
SP2_0,19900206,199003,632.5,330.25
SP2_0,19900207,199003,638.05,335.8
SP2_0,19900208,199003,637.55,335.3
SP2_0,19900209,199003,636.65,334.4
SP2_0,19900212,199003,633,330.75
SP2_0,19900213,199003,634.9,332.65
SP2_0,19900214,199003,635.55,333.3
SP2_0,19900215,199003,638.4,336.15
SP2_0,19900216,199003,635.45,333.2
SP2_0,19900220,199003,631,328.75
SP2_0,19900221,199003,631.55,329.3
SP2_0,19900222,199003,629,326.75
SP2_0,19900223,199003,627.75,325.5
SP2_0,19900226,199003,632.1,329.85
SP2_0,19900227,199003,633.6,331.35
SP2_0,19900228,199003,635.2,332.95
SP2_0,19900301,199003,636.05,333.8
SP2_0,19900302,199003,638.15,335.9
SP2_0,19900305,199003,636.75,334.5
SP2_0,19900306,199003,641.45,339.2
SP2_0,19900307,199003,639.2,336.95
SP2_0,19900308,199003,642.8,340.55
SP2_0,19900309,199006,640.3,342.05
SP2_0,19900312,199006,640.9,342.65
SP2_0,19900313,199006,637.8,339.55
SP2_0,19900314,199006,639.6,341.35
SP2_0,19900315,199006,640.45,342.2
SP2_0,19900316,199006,643.5,345.25
SP2_0,19900319,199006,645.85,347.6
SP2_0,19900320,199006,643.85,345.6
SP2_0,19900321,199006,640.45,342.2
SP2_0,19900322,199006,637.35,339.1
SP2_0,19900323,199006,639.05,340.8
SP2_0,19900326,199006,640,341.75
SP2_0,19900327,199006,643.8,345.55
SP2_0,19900328,199006,644.15,345.9
SP2_0,19900329,199006,642.15,343.9
SP2_0,19900330,199006,639.7,341.45
SP2_0,19900402,199006,640.15,341.9
SP2_0,19900403,199006,645.6,347.35
SP2_0,19900404,199006,641.45,343.2
SP2_0,19900405,199006,642.5,344.25
SP2_0,19900406,199006,641.95,343.7
SP2_0,19900409,199006,642.65,344.4
SP2_0,19900410,199006,642.55,344.3
SP2_0,19900411,199006,643.45,345.2
SP2_0,19900412,199006,646.35,348.1
SP2_0,19900416,199006,645.1,346.85
SP2_0,19900417,199006,645.45,347.2
