Symbol,Date,Delivery,Close,UClose1
TY_0,19900102,199003,16.8437,88.9062
TY_0,19900103,199003,16.6406,88.7031
TY_0,19900104,199003,16.7031,88.7656
TY_0,19900105,199003,16.6719,88.7344
TY_0,19900108,199003,16.5625,88.625
TY_0,19900109,199003,16.5313,88.5938
TY_0,19900110,199003,16.5,88.5625
TY_0,19900111,199003,16.4687,88.5312
TY_0,19900112,199003,16.2187,88.2812
TY_0,19900115,199003,15.8125,87.875
TY_0,19900116,199003,15.6094,87.6719
TY_0,19900117,199003,15.6406,87.7031
TY_0,19900118,199003,14.9375,87
TY_0,19900119,199003,15.25,87.3125
TY_0,19900122,199003,15.2187,87.2812
TY_0,19900123,199003,15.3594,87.4219
TY_0,19900124,199003,14.75,86.8125
TY_0,19900125,199003,14.5156,86.5781
TY_0,19900126,199003,14.0781,86.1406
TY_0,19900129,199003,14.1094,86.1719
TY_0,19900130,199003,13.9687,86.0312
TY_0,19900131,199003,14.5,86.5625
TY_0,19900201,199003,14.6094,86.6719
TY_0,19900202,199003,14.1875,86.25
TY_0,19900205,199003,14.0156,86.0781
TY_0,19900206,199003,13.7969,85.8594
TY_0,19900207,199003,13.8281,85.8906
TY_0,19900208,199003,14.1563,86.2188
TY_0,19900209,199003,15.0313,87.0938
TY_0,19900212,199003,14.5781,86.6406
TY_0,19900213,199003,14.8594,86.9219
TY_0,19900214,199003,14.7969,86.8594
TY_0,19900215,199003,14.3281,86.3906
TY_0,19900216,199003,14.4063,86.4688
TY_0,19900220,199003,13.2969,85.3594
TY_0,19900221,199006,13.312475,85.3281
TY_0,19900222,199006,13.781275,85.7969
TY_0,19900223,199006,13.781275,85.7969
TY_0,19900226,199006,14.234375,86.25
TY_0,19900227,199006,14.546875,86.5625
TY_0,19900228,199006,13.921875,85.9375
TY_0,19900301,199006,13.484375,85.5
TY_0,19900302,199006,13.703175,85.7188
TY_0,19900305,199006,13.093775,85.1094
TY_0,19900306,199006,13.421875,85.4375
TY_0,19900307,199006,13.484375,85.5
TY_0,19900308,199006,13.562475,85.5781
TY_0,19900309,199006,13.093775,85.1094
TY_0,19900312,199006,13.234375,85.25
TY_0,19900313,199006,12.703175,84.7188
TY_0,19900314,199006,13.203175,85.2188
TY_0,19900315,199006,13.093775,85.1094
TY_0,19900316,199006,13.562475,85.5781
TY_0,19900319,199006,13.531275,85.5469
TY_0,19900320,199006,13.874975,85.8906
TY_0,19900321,199006,13.765575,85.7812
TY_0,19900322,199006,13.812475,85.8281
TY_0,19900323,199006,13.921875,85.9375
TY_0,19900326,199006,14.046875,86.0625
TY_0,19900327,199006,13.921875,85.9375
TY_0,19900328,199006,14.046875,86.0625
TY_0,19900329,199006,13.515575,85.5312
TY_0,19900330,199006,13.140575,85.1562
TY_0,19900402,199006,13.203175,85.2188
TY_0,19900403,199006,13.312475,85.3281
TY_0,19900404,199006,13.906275,85.9219
TY_0,19900405,199006,13.812475,85.8281
TY_0,19900406,199006,13.812475,85.8281
TY_0,19900409,199006,13.593775,85.6094
TY_0,19900410,199006,13.531275,85.5469
TY_0,19900411,199006,13.390575,85.4062
TY_0,19900412,199006,13.281275,85.2969
TY_0,19900416,199006,13.124975,85.1406
TY_0,19900417,199006,12.640575,84.6562
TY_0,19900418,199006,12.093775,84.1094
TY_0,19900419,199006,12.062475,84.0781
TY_0,19900420,199006,11.640575,83.6562
TY_0,19900423,199006,11.499975,83.5156
TY_0,19900424,199006,11.390575,83.4062
TY_0,19900425,199006,11.390575,83.4062
TY_0,19900426,199006,11.078175,83.0938
TY_0,19900427,199006,11.109375,83.125
TY_0,19900430,199006,11.187475,83.2031
TY_0,19900501,199006,11.062475,83.0781
TY_0,19900502,199006,10.999975,83.0156
TY_0,19900503,199006,11.187475,83.2031
TY_0,19900504,199006,12.359375,84.375
TY_0,19900507,199006,12.171875,84.1875
TY_0,19900508,199006,12.390575,84.4062
TY_0,19900509,199006,11.859375,83.875
TY_0,19900510,199006,12.359375,84.375
TY_0,19900511,199006,13.312475,85.3281
TY_0,19900514,199006,13.515575,85.5312
TY_0,19900515,199006,13.234375,85.25
TY_0,19900516,199006,13.124975,85.1406
TY_0,19900517,199006,13.031275,85.0469
TY_0,19900518,199006,12.734375,84.75
TY_0,19900521,199006,12.749975,84.7656
TY_0,19900522,199009,13.312525,85.2969
TY_0,19900523,199009,13.484425,85.4688
TY_0,19900524,199009,13.375025,85.3594
TY_0,19900525,199009,12.984425,84.9688
TY_0,19900529,199009,13.265625,85.25
TY_0,19900530,199009,13.484425,85.4688
TY_0,19900531,199009,13.562525,85.5469
TY_0,19900601,199009,14.468725,86.4531
TY_0,19900604,199009,14.484425,86.4688
TY_0,19900605,199009,14.265625,86.25
TY_0,19900606,199009,14.296825,86.2812
TY_0,19900607,199009,14.328125,86.3125
TY_0,19900608,199009,14.296825,86.2812
TY_0,19900611,199009,14.203125,86.1875
