Symbol,Date,Delivery,Close,UClose1
CL2_0,19900102,199002,62.57,22.89
CL2_0,19900103,199002,63.36,23.68
CL2_0,19900104,199002,63.09,23.41
CL2_0,19900105,199002,62.76,23.08
CL2_0,19900108,199002,61.3,21.62
CL2_0,19900109,199002,61.75,22.07
CL2_0,19900110,199002,62.58,22.9
CL2_0,19900111,199002,62.82,23.14
CL2_0,19900112,199002,62.81,23.13
CL2_0,19900115,199002,62.04,22.36
CL2_0,19900116,199003,62.4,21.73
CL2_0,19900117,199003,61.93,21.26
CL2_0,19900118,199003,62.26,21.59
CL2_0,19900119,199003,62.75,22.08
CL2_0,19900122,199003,62.44,21.77
CL2_0,19900123,199003,62.27,21.6
CL2_0,19900124,199003,62.26,21.59
CL2_0,19900125,199003,62.91,22.24
CL2_0,19900126,199003,63.23,22.56
CL2_0,19900129,199003,63.47,22.8
CL2_0,19900130,199003,63.13,22.46
CL2_0,19900131,199003,63.35,22.68
CL2_0,19900201,199003,63.37,22.7
CL2_0,19900202,199003,63.69,23.02
CL2_0,19900205,199003,63.06,22.39
CL2_0,19900206,199003,63.18,22.51
CL2_0,19900207,199003,62.99,22.32
CL2_0,19900208,199003,62.76,22.09
CL2_0,19900209,199003,62.41,21.74
CL2_0,19900212,199003,62.7,22.03
CL2_0,19900213,199003,62.57,21.9
CL2_0,19900214,199004,62.74,21.95
CL2_0,19900215,199004,63.22,22.43
CL2_0,19900216,199004,63.04,22.25
CL2_0,19900220,199004,62.93,22.14
CL2_0,19900221,199004,62.53,21.74
CL2_0,19900222,199004,62.54,21.75
CL2_0,19900223,199004,62.21,21.42
CL2_0,19900226,199004,62.58,21.79
CL2_0,19900227,199004,62.37,21.58
CL2_0,19900228,199004,62.33,21.54
CL2_0,19900301,199004,61.96,21.17
CL2_0,19900302,199004,62.14,21.35
CL2_0,19900305,199004,62.37,21.58
CL2_0,19900306,199004,62.09,21.3
CL2_0,19900307,199004,61.72,20.93
CL2_0,19900308,199004,61.57,20.78
CL2_0,19900309,199004,61.22,20.43
CL2_0,19900312,199004,61.03,20.24
CL2_0,19900313,199004,61.01,20.22
CL2_0,19900314,199005,60.88,20.32
CL2_0,19900315,199005,61.24,20.68
CL2_0,19900316,199005,60.94,20.38
CL2_0,19900319,199005,60.52,19.96
CL2_0,19900320,199005,60.33,19.77
CL2_0,19900321,199005,60.52,19.96
CL2_0,19900322,199005,60.56,20
CL2_0,19900323,199005,60.95,20.39
CL2_0,19900326,199005,61.02,20.46
CL2_0,19900327,199005,61.04,20.48
CL2_0,19900328,199005,60.64,20.08
CL2_0,19900329,199005,60.59,20.03
CL2_0,19900330,199005,60.84,20.28
CL2_0,19900402,199005,61.04,20.48
CL2_0,19900403,199005,60.86,20.3
CL2_0,19900404,199005,60.34,19.78
CL2_0,19900405,199005,59.99,19.43
CL2_0,19900406,199005,59.71,19.15
CL2_0,19900409,199005,59,18.44
CL2_0,19900410,199005,58.24,17.68
CL2_0,19900411,199005,58.62,18.06
CL2_0,19900412,199005,58.34,17.78
CL2_0,19900416,199005,58.41,17.85
CL2_0,19900417,199006,58.03,18.39
CL2_0,19900418,199006,57.73,18.09
CL2_0,19900419,199006,58.51,18.87
CL2_0,19900420,199006,58.46,18.82
CL2_0,19900423,199006,58.71,19.07
CL2_0,19900424,199006,58.64,19
CL2_0,19900425,199006,58.3,18.66
CL2_0,19900426,199006,58.11,18.47
CL2_0,19900427,199006,58.18,18.54
CL2_0,19900430,199006,58.18,18.54
CL2_0,19900501,199006,58.45,18.81
CL2_0,19900502,199006,58.32,18.68
CL2_0,19900503,199006,57.63,17.99
CL2_0,19900504,199006,57.62,17.98
CL2_0,19900507,199006,57.91,18.27
CL2_0,19900508,199006,57.92,18.28
CL2_0,19900509,199006,58.63,18.99
CL2_0,19900510,199006,58.66,19.02
CL2_0,19900511,199006,58.59,18.95
CL2_0,19900514,199006,59.35,19.71
CL2_0,19900515,199006,59.23,19.59
CL2_0,19900516,199007,58.72,19.52
CL2_0,19900517,199007,58.77,19.57
CL2_0,19900518,199007,58.62,19.42
CL2_0,19900521,199007,58.24,19.04
CL2_0,19900522,199007,58.12,18.92
CL2_0,19900523,199007,57.34,18.14
CL2_0,19900524,199007,57.03,17.83
CL2_0,19900525,199007,57,17.8
CL2_0,19900529,199007,57.18,17.98
CL2_0,19900530,199007,57.28,18.08
CL2_0,19900531,199007,56.6,17.4
CL2_0,19900601,199007,56.7,17.5
CL2_0,19900604,199007,56.34,17.14
CL2_0,19900605,199007,55.88,16.68
CL2_0,19900606,199007,56.12,16.92
CL2_0,19900607,199007,55.87,16.67
CL2_0,19900608,199007,55.98,16.78
CL2_0,19900611,199007,56.02,16.82
CL2_0,19900612,199007,56.71,17.51
CL2_0,19900613,199007,56.78,17.58
CL2_0,19900614,199008,56.36,17.84
CL2_0,19900615,199008,56.11,17.59
CL2_0,19900618,199008,55.47,16.95
CL2_0,19900619,199008,55.44,16.92
CL2_0,19900620,199008,55.27,16.75
CL2_0,19900621,199008,55.49,16.97
CL2_0,19900622,199008,55.98,17.46
CL2_0,19900625,199008,55.9,17.38
CL2_0,19900626,199008,55.66,17.14
CL2_0,19900627,199008,55.2,16.68
CL2_0,19900628,199008,55.67,17.15
CL2_0,19900629,199008,55.59,17.07
CL2_0,19900702,199008,55.24,16.72
CL2_0,19900703,199008,55.32,16.8
CL2_0,19900705,199008,55.02,16.5
CL2_0,19900706,199008,54.99,16.47
CL2_0,19900709,199008,55.1,16.58
CL2_0,19900710,199008,55.46,16.94
CL2_0,19900711,199008,55.99,17.47
CL2_0,19900712,199008,56.98,18.46
CL2_0,19900713,199008,56.88,18.36
CL2_0,19900716,199009,57.25,19.85
CL2_0,19900717,199009,57.17,19.77
CL2_0,19900718,199009,57.01,19.61
CL2_0,19900719,199009,57.26,19.86
CL2_0,19900720,199009,57.46,20.06
CL2_0,19900723,199009,57.9,20.5
CL2_0,19900724,199009,57.96,20.56
CL2_0,19900725,199009,57.78,20.38
CL2_0,19900726,199009,57.7,20.3
CL2_0,19900727,199009,57.44,20.04
CL2_0,19900730,199009,57.61,20.21
CL2_0,19900731,199009,58.09,20.69
CL2_0,19900801,199009,58.94,21.54
CL2_0,19900802,199009,60.51,23.11
CL2_0,19900803,199009,61.89,24.49
CL2_0,19900806,199009,65.45,28.05
CL2_0,19900807,199009,65.71,28.31
CL2_0,19900808,199009,63.36,25.96
CL2_0,19900809,199009,63.07,25.67
CL2_0,19900810,199009,63.63,26.23
CL2_0,19900814,199009,63.82,26.42
CL2_0,19900815,199010,63.85,26.36
CL2_0,19900816,199010,64.77,27.28
CL2_0,19900817,199010,65.77,28.28
CL2_0,19900820,199010,66.08,28.59
CL2_0,19900821,199010,66.2,28.71
CL2_0,19900822,199010,68.71,31.22
CL2_0,19900823,199010,69.42,31.93
CL2_0,19900824,199010,68.4,30.91
CL2_0,19900827,199010,64.4,26.91
CL2_0,19900828,199010,65.37,27.88
CL2_0,19900829,199010,63.41,25.92
CL2_0,19900830,199010,64.26,26.77
CL2_0,19900831,199010,64.83,27.34
CL2_0,19900904,199010,66.61,29.12
CL2_0,19900905,199010,67.26,29.77
CL2_0,19900906,199010,68.92,31.43
CL2_0,19900907,199010,67.53,30.04
CL2_0,19900910,199010,68.79,31.3
CL2_0,19900911,199010,68.25,30.76
CL2_0,19900912,199010,68.46,30.97
CL2_0,19900913,199010,68.56,31.07
CL2_0,19900914,199011,69.23,31.16
CL2_0,19900917,199011,70.23,32.16
CL2_0,19900918,199011,70.74,32.67
CL2_0,19900919,199011,71.04,32.97
CL2_0,19900920,199011,71.49,33.42
CL2_0,19900921,199011,73.5,35.43
CL2_0,19900924,199011,76.32,38.25
CL2_0,19900925,199011,75.6,37.53
CL2_0,19900926,199011,76.74,38.67
CL2_0,19900927,199011,77.61,39.54
CL2_0,19900928,199011,77.58,39.51
CL2_0,19901001,199011,75.16,37.09
CL2_0,19901002,199011,72.02,33.95
